hostname	gaia_id	default_flag	st_refname	st_vsin	st_vsinerr1	st_vsinerr2	st_vsinlim	rowupdate	releasedate;;
HD 190228	Gaia DR2 2029001447540053504	1	<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>					2022-09-19	2022-09-19;;
HD 190360	Gaia DR2 2029433521248546304	1	<a refstr=FENG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.2856F/abstract target=ref>Feng et al. 2021</a>					2022-09-19	2022-09-19;;
HD 190360	Gaia DR2 2029433521248546304	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2014-08-21	2014-08-21;;
HD 190647	Gaia DR2 6697758334244808192	1	<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>					2019-06-24	2019-06-27;;
HD 190984	Gaia DR2 6429295051154269440	1	<a refstr=SANTOS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..47S/abstract target=ref> Santos et al. 2010 </a>	3.4			0.0	2014-08-21	2014-08-21;;
HD 191806	Gaia DR2 2088526979830768512	1	<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>					2022-09-19	2022-09-19;;
HD 191939	Gaia DR2 2248126315275354496	1	<a refstr=LUBIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..101L/abstract target=ref>Lubin et al. 2022</a>	2.0			1.0	2022-11-14	2022-11-14;;
HD 191939	Gaia DR2 2248126315275354496	1	<a refstr=LUBIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..101L/abstract target=ref>Lubin et al. 2022</a>	2.0			1.0	2022-11-14	2022-11-14;;
HD 191939	Gaia DR2 2248126315275354496	1	<a refstr=LUBIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..101L/abstract target=ref>Lubin et al. 2022</a>	2.0			1.0	2022-11-14	2022-11-14;;
HD 191939	Gaia DR2 2248126315275354496	1	<a refstr=LUBIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..101L/abstract target=ref>Lubin et al. 2022</a>	2.0			1.0	2022-11-14	2022-11-14;;
HD 191939	Gaia DR2 2248126315275354496	1	<a refstr=LUBIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..101L/abstract target=ref>Lubin et al. 2022</a>	2.0			1.0	2022-11-14	2022-11-14;;
HD 191939	Gaia DR2 2248126315275354496	1	<a refstr=LUBIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..101L/abstract target=ref>Lubin et al. 2022</a>	2.0			1.0	2022-11-14	2022-11-14;;
HD 192263	Gaia DR2 4224259562941398400	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
HD 192310	Gaia DR2 6847167606385195648	1	<a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>	3.0			1.0	2015-07-01	2015-07-02;;
HD 192310	Gaia DR2 6847167606385195648	1	<a refstr=PEPE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...534A..58P/abstract target=ref> Pepe et al. 2011 </a>	3.0			1.0	2015-07-01	2015-07-02;;
HD 192699	Gaia DR2 4246124829130366848	1	<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>					2018-12-03	2018-12-06;;
HD 195019	Gaia DR2 1815418118373631360	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
HD 196050	Gaia DR2 6454954010413575296	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
HD 196067	Gaia DR2 6369544118965772416	1	<a refstr=MARMIER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..90M/abstract target=ref> Marmier et al. 2013 </a>	1.45			0.0	2014-05-14	2014-05-14;;
HD 19615	Gaia DR2 547375547309768064	1	<a refstr=JEONG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...662A..12J/abstract target=ref>Jeong et al. 2022</a>	2.6	0.5	-0.5	0.0	2022-06-27	2022-06-27;;
HD 196885 A	Gaia DR2 1754430373040023168	1	<a refstr=FISCHER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...703.1545F/abstract target=ref> Fischer et al. 2009 </a>	7.8	0.5	-0.5	0.0	2014-08-21	2014-08-21;;
HD 197037	Gaia DR2 2066437688140905600	1	<a refstr=ROBERTSON_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...749...39R/abstract target=ref> Robertson et al. 2012 </a>					2019-01-28	2019-01-31;;
HD 19994	Gaia DR2 3265335443260522112	1	<a refstr=WITTENMYER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJS..182...97W/abstract target=ref> Wittenmyer et al. 2009 </a>	8.6			0.0	2014-05-14	2014-05-14;;
HD 20003	Gaia DR2 4642472794978268800	1	<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>	1.9			0.0	2019-02-05	2019-02-07;;
HD 20003	Gaia DR2 4642472794978268800	1	<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>	1.9			0.0	2019-02-05	2019-02-07;;
HD 200964	Gaia DR2 1732018855730384256	1	<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>					2018-12-03	2018-12-06;;
HD 200964	Gaia DR2 1732018855730384256	1	<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>					2018-12-03	2018-12-06;;
HD 202206	Gaia DR2 6832155218215202944	1	<a refstr=BENEDICT__AMP__HARRISON_2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..258B/abstract target=ref>Benedict &amp; Harrison 2017</a>	2.3	0.5	-0.5	0.0	2018-05-22	2018-05-24;
