hostname	gaia_id	default_flag	st_refname	st_vsin	st_vsinerr1	st_vsinerr2	st_vsinlim	rowupdate	releasedate;;
Kepler-1655	Gaia DR2 2100392428275714688	1	<a refstr=HAYWOOD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..203H/abstract target=ref>Haywood et al. 2018</a>	3.5	0.5	-0.5	0.0	2018-04-04	2018-04-05;;
Kepler-1656	Gaia DR2 2103392720630278656	1	<a refstr=ANGELO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..227A/abstract target=ref>Angelo et al. 2022</a>	2.8	1.0	-1.0	0.0	2022-05-24	2022-05-24;;
Kepler-1656	Gaia DR2 2103392720630278656	1	<a refstr=ANGELO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..227A/abstract target=ref>Angelo et al. 2022</a>	2.8	1.0	-1.0	0.0	2022-05-24	2022-05-24;;
Kepler-1658	Gaia DR2 2052194374009877376	1	<a refstr=CHONTOS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..192C/abstract target=ref>Chontos et al. 2019</a>	33.95	0.97	-0.97	0.0	2019-03-11	2019-03-14;;
Kepler-166	Gaia DR2 2129025841368107136	1	<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>					2014-05-14	2014-05-14;;
Kepler-166	Gaia DR2 2129025841368107136	1	<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>					2014-05-14	2014-05-14;;
Kepler-166	Gaia DR2 2129025841368107136	1	<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>					2016-05-06	2016-05-10;;
Kepler-1661	Gaia DR2 2104078025612319360	1	<a refstr=SOCIA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...94S/abstract target=ref>Socia et al. 2020</a>	2.5	0.5	-0.5	0.0	2020-02-21	2020-02-27;;
Kepler-1663	Gaia DR2 2129578826996503040	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1664	Gaia DR2 2131313444027771520	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1665	Gaia DR2 2101773689759891328	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1666	Gaia DR2 2079523903745213056	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1666	Gaia DR2 2079523903745213056	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1667	Gaia DR2 2131690988831633792	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1668	Gaia DR2 2080249100380387712	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1669	Gaia DR2 2073652546016392448	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1669	Gaia DR2 2073652546016392448	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-167	Gaia DR2 2051933102555095936	1	<a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>					2022-07-18	2022-07-18;;
Kepler-167	Gaia DR2 2051933102555095936	1	<a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>					2022-07-18	2022-07-18;;
Kepler-167	Gaia DR2 2051933102555095936	1	<a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>					2022-07-18	2022-07-18;;
Kepler-167	Gaia DR2 2051933102555095936	1	<a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>					2022-07-18	2022-07-18;;
Kepler-1670	Gaia DR2 2102045097334800256	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1671	Gaia DR2 2052984785425250176	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1672	Gaia DR2 2073677040206349696	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1673	Gaia DR2 2131922985785232640	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1674	Gaia DR2 2079934640055270144	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1675	Gaia DR2 2103688489257523584	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1677	Gaia DR2 2085575272147044608	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1678	Gaia DR2 2051934236426454784	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1679	Gaia DR2 2135221108353855744	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-168	Gaia DR2 2076454926274192128	1	<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>					2014-05-14	2014-05-14;;
Kepler-168	Gaia DR2 2076454926274192128	1	<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>					2014-05-14	2014-05-14;;
Kepler-1680	Gaia DR2 2073697419836171264	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1681	Gaia DR2 2080316995223800960	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1682	Gaia DR2 2052482617853346944	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1683	Gaia DR2 2079071626510258432	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1684	Gaia DR2 2128117541685424128	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1685	Gaia DR2 2079576783379820928	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1686	Gaia DR2 2101744552703459712	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1687	Gaia DR2 2133086887563878912	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1688	Gaia DR2 2101475241074002176	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1689	Gaia DR2 2052740449026979584	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-169	Gaia DR2 2103788854053938816	1	<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>					2014-05-14	2014-05-14;;
Kepler-169	Gaia DR2 2103788854053938816	1	<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>					2014-05-14	2014-05-14;;
Kepler-169	Gaia DR2 2103788854053938816	1	<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>					2014-05-14	2014-05-14;;
Kepler-169	Gaia DR2 2103788854053938816	1	<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>					2014-05-14	2014-05-14;;
Kepler-169	Gaia DR2 2103788854053938816	1	<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>					2014-05-14	2014-05-14;;
Kepler-1690	Gaia DR2 2102384846425680768	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1691	Gaia DR2 2100882501225436032	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1692	Gaia DR2 2130641436264397568	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1693	Gaia DR2 2129417198787412608	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1693	Gaia DR2 2129417198787412608	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1694	Gaia DR2 2053266741439477248	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1695	Gaia DR2 2128168256659148032	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1696	Gaia DR2 2077107211548933504	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1697	Gaia DR2 2102991776844251264	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1698	Gaia DR2 2052368955838887808	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1699	Gaia DR2 2129698261447024128	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-17	Gaia DR2 2086449761846310784	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2019-12-02	2014-05-14;;
Kepler-170	Gaia DR2 2104098950692667264	1	<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>					2014-05-14	2014-05-14;;
Kepler-170	Gaia DR2 2104098950692667264	1	<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>					2014-05-14	2014-05-14;;
Kepler-1700	Gaia DR2 2106262274180389376	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1701	Gaia DR2 2103936497850300928	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1702	Gaia DR2 2105983066946463488	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2020-09-08	2020-09-03;;
Kepler-1704	Gaia DR2 2136191736602006016	1	<a refstr=DALBA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..154D/abstract target=ref>Dalba et al. 2021</a>					2022-11-07	2022-11-07;;
Kepler-1705	Gaia DR2 2081875484241210240	1	<a refstr=LELEU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...655A..66L/abstract target=ref>Leleu et al. 2021</a>					2022-01-10	2022-01-10;;
Kepler-1705	Gaia DR2 2081875484241210240	1	<a refstr=LELEU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...655A..66L/abstract target=ref>Leleu et al. 2021</a>					2022-01-10	2022-01-10;;
Kepler-1708	Gaia DR2 2078801971283008128	1	<a refstr=KIPPING_ET_AL__2022 href=https://www.nature.com/articles/s41550-021-01539-1 target=ref>Kipping et al. 2022</a>					2022-01-10	2022-01-10;;
Kepler-1709	Gaia DR2 2105135854577044480	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-171	Gaia DR2 2076955822541823744	1	<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>					2014-05-14	2014-05-14;;
Kepler-171	Gaia DR2 2076955822541823744	1	<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>					2014-05-14	2014-05-14;;
Kepler-171	Gaia DR2 2076955822541823744	1	<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>					2014-05-14	2014-05-14;;
Kepler-1710	Gaia DR2 2051808789021826432	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1711	Gaia DR2 2078426655561355264	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1712	Gaia DR2 2132326747070439296	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1713	Gaia DR2 2105620159389754624	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1714	Gaia DR2 2128069334973424000	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1715	Gaia DR2 2077420842932795776	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1716	Gaia DR2 2078735519547912832	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1717	Gaia DR2 2134842189160723072	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1718	Gaia DR2 2125814129244571264	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1719	Gaia DR2 2100196646487547776	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-172	Gaia DR2 2104506319750394624	1	<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>					2014-05-14	2014-05-14;;
Kepler-172	Gaia DR2 2104506319750394624	1	<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>					2014-05-14	2014-05-14;;
Kepler-172	Gaia DR2 2104506319750394624	1	<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>					2014-05-14	2014-05-14;;
Kepler-172	Gaia DR2 2104506319750394624	1	<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>					2014-05-14	2014-05-14;;
Kepler-1720	Gaia DR2 2080378808394131200	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1721	Gaia DR2 2106989772919325440	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1722	Gaia DR2 2076834154709585664	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1723	Gaia DR2 2128157158464165504	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1724	Gaia DR2 2086649220125927040	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1725	Gaia DR2 2076524710904427520	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1726	Gaia DR2 2107201909944691968	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1727	Gaia DR2 2052880194379878272	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1728	Gaia DR2 2100378478222060032	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1729	Gaia DR2 2077201219791653248	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-173	Gaia DR2 2077485271747441280	1	<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>					2014-05-14	2014-05-14;;
Kepler-173	Gaia DR2 2077485271747441280	1	<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>					2014-05-14	2014-05-14;;
Kepler-1730	Gaia DR2 2105275015817638272	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1731	Gaia DR2 2050239300586448000	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1732	Gaia DR2 2051836379889114240	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1733	Gaia DR2 2052549584977429504	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1734	Gaia DR2 2077403633010654976	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1735	Gaia DR2 2119222252094710912	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1736	Gaia DR2 2051368056655683328	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1737	Gaia DR2 2086388872088420352	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1738	Gaia DR2 2080581565208813312	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1739	Gaia DR2 2080638877253151232	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-174	Gaia DR2 2106008493152187392	1	<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>					2014-05-14	2014-05-14;;
Kepler-174	Gaia DR2 2106008493152187392	1	<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>					2014-05-14	2014-05-14;;
Kepler-174	Gaia DR2 2106008493152187392	1	<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>					2014-05-14	2014-05-14;;
Kepler-1740	Gaia DR2 2052381737659167488	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1741	Gaia DR2 2053093637076689664	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
Kepler-1742	Gaia DR2 2106221351731318784	1	<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>					2021-12-05	2021-12-05;;
